,,As-Suli,Abbasid Caliphate,c. 880,c. 946
testthis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the filethis adds to the end of the file
Åkesson,Ralf,Ralf Åkesson,Sweden,1961,
Ólafsson,Friðrik,Friðrik Ólafsson,Iceland,1935,
Ólafsson,Helgi,Helgi Ólafsson,Iceland,1956,
Õim,Tõnu,Tõnu Õim,Estonia,1941,
Øgaard,Leif,Leif Øgaard,Norway,1952,
Üitümen,Tüdeviin,Tüdeviin Üitümen,Mongolia,1939,1993
Čmilytė,Viktorija,Viktorija Čmilytė,Lithuania,1983,
Ķeņģis,Edvīns,Edvīns Ķeņģis,Latvia,1959,
Śliwa,Bogdan,Bogdan Śliwa,Poland,1922,2003
Šajtar,Jaroslav,Jaroslav Šajtar,Czechoslovakia,1921,2003
Šarić,Ivan,Ivan Šarić,Croatia,1990,
Šubarić,Mladen,Mladen Šubarić,Croatia,1920,
Šulskis,Šarūnas,Šarūnas Šulskis,Lithuania,1972,
Żabiński,Józef,Józef Żabiński,Poland,1860,1928
