,,As-Suli,Abbasid Caliphate,c. 880,c. 946
Dobkin,Yosef,Yosef Dobkin,"Russia,Israel",1909,1977
Dolmatov,Sergey,Sergey Dolmatov,Russia,1959,
Dominguez,Lenier,Lenier Dominguez,Cuba,1983,
Dominik,Józef,Józef Dominik,Poland,1894,1920
Domnitz,Zadok,Zadok Domnitz,Israel,1933,
Donaldson,John W.,John W. Donaldson,US,1958,
Donaldson,Elena,Elena Donaldson,"Russia,Georgia,US",1957,
Donev,Ivo,Ivo Donev,Austria,1959,
Donner,Jan Hein,Jan Hein Donner,Netherlands,1927,1988
Dorfman,Iossif,Iossif Dorfman,"Ukraine,France",1952,
Dreev,Alexey,Alexey Dreev,Russia,1969,
Dreyer,Kurt,Kurt Dreyer,"Germany,South Africa",1909,1981
Drezga,Tihomil,Tihomil Drezga,"Croatia,US",1903,1981
Drozdovskij,Yuri,Yuri Drozdovskij,Ukraine,1984,
Dubeck,Leroy,Leroy Dubeck,US,1939,
Dubois,Serafino,Serafino Dubois,Italy,1817,1899
Dubov,Daniil,Daniil Dubov,Russia,1996,
Dufresne,Jean,Jean Dufresne,Germany,1829,1893
Duhm,Hans,Hans Duhm,"Germany,Switzerland",1878,1946
Duhm,Andreas,Andreas Duhm,"Germany,Switzerland",1883,1975
Duhm,Dietrich,Dietrich Duhm,"Germany,Switzerland",1880,1954
Dunkelblum,Arthur,Arthur Dunkelblum,"Poland,Belgium",1906,1979
Duras,Oldřich,Oldřich Duras,"Bohemia,Czechoslovakia",1882,1957
Duz-Khotimirsky,Fyodor,Fyodor Duz-Khotimirsky,Ukraine,1879,1965
Dvoirys,Semen,Semen Dvoirys,Russia,1958,
Dvoretsky,Mark,Mark Dvoretsky,Russia,1947,
Dworakowska,Joanna,Joanna Dworakowska,Poland,1978,
Dyckhoff,Eduard,Eduard Dyckhoff,Germany,1880,1949
Dydyshko,Viacheslav,Viacheslav Dydyshko,Belarus,1949,
Dyner,Boruch Israel,Boruch Israel Dyner,"Poland,Belgium,Israel",1903,1979
Dzagnidze,Nana,Nana Dzagnidze,Georgia,1987,
Dzhumaev,Marat,Marat Dzhumaev,Uzbekistan,1976,
Dzindzichashvili,Roman,Roman Dzindzichashvili,"Georgia,Israel,US",1944,
Dückstein,Andreas,Andreas Dückstein,"Hungary,Austria",1927,
Eade,James,James Eade,US,1957,
Efimenko,Zahar,Zahar Efimenko,Ukraine,1985,
Efroimski,Marsel,Marsel Efroimski,Israel,1995,
Ehlvest,Jaan,Jaan Ehlvest,Estonia,1962,
Eidelson,Rakhil,Rakhil Eidelson,Belarus,1958,
Eingorn,Vereslav,Vereslav Eingorn,Ukraine,1956,
Eisenberg,Louis,Louis Eisenberg,"Ukraine,US",1876,>1909
Ekenberg,Bengt,Bengt Ekenberg,Sweden,1912,1986
Ekström,Folke,Folke Ekström,Sweden,1906,2000
Eliskases,Erich,Erich Eliskases,"Austria,Germany,Argentina",1913,1997
Eljaschoff,Moissei,Moissei Eljaschoff,Lithuania,1870,1919
Emms,John,John Emms,England,1967,
Endzelins,Lucijs,Lucijs Endzelins,"Estonia,Latvia,Australia",1909,1981
Enevoldsen,Jens,Jens Enevoldsen,Denmark,1907,1980
Engels,Ludwig,Ludwig Engels,"Germany,Brazil",1905,1967
Englisch,Berthold,Berthold Englisch,Austria,1851,1897
Enoch,David,David Enoch,Israel,1901,1949
Epishin,Vladimir,Vladimir Epishin,Russia,1965,
Erdélyi,Stefan,Stefan Erdélyi,"Hungary,Romania",1905,1968
Ereńska,Hanna,Hanna Ereńska,Poland,1946,
Ermenkov,Evgenij,Evgenij Ermenkov,"Bulgaria,Palestine",1949,
Ernst,Wilhelm,Wilhelm Ernst,Germany,1905,1952
Erskine,John Angus,John Angus Erskine,"New Zealand,Australia",1873,1960
Estrin,Yakov,Yakov Estrin,Russia,1923,1987
Euwe,Max,Max Euwe,Netherlands,1901,1981
Evans,William Davies,William Davies Evans,Wales,1790,1872
Evans,Larry M.,Larry M. Evans,US,1932,2010
Evensohn,Alexander,Alexander Evensohn,Ukraine,1892,1919
Exner,Győző,Győző Exner,Hungary,1864,1945
Factor,Samuel,Samuel Factor,"Poland,US",1883,1949
Fagan,Louisa Matilda,Louisa Matilda Fagan,"Italy,England",1850,1931
Fahrni,Hans,Hans Fahrni,"Bohemia,Switzerland",1874,1939
Fairhurst,William,William Fairhurst,"England,Scotland,New Zealand",1903,1982
Fajarowicz,Sammi,Sammi Fajarowicz,Germany,1908,1940
Falk,Raphael,Raphael Falk,Russia,1856,1913
Falkbeer,Ernst,Ernst Falkbeer,Austria-Hungary,1819,1885
Fazekas,Stefan,Stefan Fazekas,"Hungary,Czechoslovakia,England",1898,1967
Fedorchuk,Sergey,Sergey Fedorchuk,Ukraine,1981,
Fedorov,Alexei,Alexei Fedorov,Belarus,1972,
Fedorowicz,John,John Fedorowicz,US,1958,
Fedoseev,Vladimir,Vladimir Fedoseev,Russia,1995,
Feigins,Movsas,Movsas Feigins,"Latvia,Argentina",1908,1950
Feinmesser,Rafał,Rafał Feinmesser,Poland,<1906,
Felecan,Florin,Florin Felecan,"Romania,US",1980,
Fenoglio,Virgilio,Virgilio Fenoglio,Argentina,1902,1990
Feuerstein,Arthur,Arthur Feuerstein,US,1935,
Fier,Alexandr,Alexandr Fier,Brazil,1988,
Fierro,Martha,Martha Fierro,Ecuador,1977,
Filip,Miroslav,Miroslav Filip,Czech Republic,1928,2009
Filippov,Anton,Anton Filippov,Uzbekistan,1986,
Fine,Reuben,Reuben Fine,US,1914,1993
Finegold,Ben,Ben Finegold,US,1969,
Finn,Julius,Julius Finn,"Poland,US",1871,1931
Firmian,Nick de,Nick de Firmian,US,1957,
Firmian,Nick de,Nick de Firmian,US,1957,
Fischer,Robert James,Robert James Fischer,"US,Iceland",1943,2008
Fishbein,Alex,Alex Fishbein,US,1968,
Flamberg,Alexander,Alexander Flamberg,Poland,1880,1926
Flatow,Alfred,Alfred Flatow,"Germany,Australia",1937,
Flear,Glenn,Glenn Flear,England,1959,
Flechsig,Ernst,Ernst Flechsig,Germany,1852,1890
Fleissig,Max,Max Fleissig,"Hungary,Austria",1845,after 1882
Fleissig,Bernhard,Bernhard Fleissig,"Hungary,Austria",1853,1931
Flesch,János,János Flesch,Hungary,1933,1983
Flohr,Salo,Salo Flohr,"Ukraine,Czechoslovakia,Russia",1908,1983
Flores,Rodrigo,Rodrigo Flores,Chile,1913,2007
Foguelman,Alberto,Alberto Foguelman,Argentina,1923,2013
Foltys,Jan,Jan Foltys,Czechoslovakia,1908,1952
Fontein,George Salto,George Salto Fontein,Netherlands,1890,1963
Foreest,Arnold van,Arnold van Foreest,Netherlands,1863,1954
Foreest,Dirk van,Dirk van Foreest,Netherlands,1862,1956
Forgács,Leó,Leó Forgács,Hungary,1881,1930
Forintos,Győző,Győző Forintos,Hungary,1935,2018
Fox,Albert,Albert Fox,US,1881,1964
Fox,Maurice,Maurice Fox,"Ukraine,Canada",1898,1988
Franco,Zenon,Zenon Franco,Paraguay,1956,
Franklin,Selim,Selim Franklin,"England,US",1814,1884
Fressinet,Laurent,Laurent Fressinet,France,1981,
Freymann,Sergey von,Sergey von Freymann,"Russia,Uzbekistan",1882,1946
Fridlizius,Joel,Joel Fridlizius,Sweden,1869,1963
Fridman,Daniel,Daniel Fridman,"Latvia,Germany",1976,
Friedel,Frederic,Frederic Friedel,Germany,1945,
Friedgood,David,David Friedgood,"South Africa,England",1946,
